"No.","Time","Source","Destination","Protocol","Length","Info"
"125","24.582416900","10.101.1.28","13.69.116.107","TLSv1.2","1265","Application Data"
"126","24.607157600","10.101.1.28","157.240.5.52","TCP","54","59673  >  443 [ACK] Seq=137 Ack=141 Win=252 Len=0"
"127","24.624504600","10.101.1.28","157.240.5.12","TLSv1.2","86","Application Data"
"128","24.641937500","13.69.116.107","10.101.1.28","TLSv1.2","92","Application Data"
"129","24.651915800","13.69.116.107","10.101.1.28","TCP","60","443  >  57651 [ACK] Seq=4394 Ack=1406 Win=4193280 Len=0"
"130","24.651915800","13.69.116.107","10.101.1.28","TCP","60","443  >  57651 [ACK] Seq=4394 Ack=2617 Win=4194816 Len=0"
"131","24.661452500","157.240.5.12","10.101.1.28","TCP","60","443  >  56601 [ACK] Seq=29 Ack=65 Win=294 Len=0"
"132","24.677940200","10.101.1.46","224.0.0.251","MDNS","169","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local PTR MacBook Pro de Brian._companion-link._tcp.local"
"133","24.677940200","fe80::10f9:d179:b707:4df2","ff02::fb","MDNS","189","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local PTR MacBook Pro de Brian._companion-link._tcp.local"
"134","24.684080500","10.101.1.28","13.69.116.107","TCP","54","57651  >  443 [ACK] Seq=2617 Ack=4394 Win=65280 Len=0"
"135","24.742862400","13.69.116.107","10.101.1.28","TLSv1.2","339","Application Data"
"136","24.752452200","10.101.1.28","13.69.116.107","TLSv1.2","133","Application Data"
"137","24.752765000","10.101.1.28","13.69.116.107","TLSv1.2","2502","Application Data"
"138","24.811953300","157.240.5.12","10.101.1.28","TLSv1.2","82","Application Data"
"139","24.811953300","13.69.116.107","10.101.1.28","TCP","60","443  >  57651 [ACK] Seq=4679 Ack=5144 Win=4194816 Len=0"
"140","24.821969800","13.69.116.107","10.101.1.28","TLSv1.2","164","Application Data"
"141","24.827456500","10.101.1.28","13.69.116.107","TCP","54","57651  >  443 [FIN, ACK] Seq=5144 Ack=4789 Win=64768 Len=0"
"142","24.854148200","10.101.1.28","157.240.5.12","TCP","54","56601  >  443 [ACK] Seq=65 Ack=57 Win=251 Len=0"
"143","24.892143200","13.69.116.107","10.101.1.28","TLSv1.2","96","Application Data"
"144","24.892143200","13.69.116.107","10.101.1.28","TCP","60","443  >  57651 [FIN, ACK] Seq=4831 Ack=5145 Win=4194816 Len=0"
"145","24.892211200","10.101.1.28","13.69.116.107","TCP","54","57651  >  443 [RST, ACK] Seq=5145 Ack=4831 Win=0 Len=0"
"146","26.726561100","10.101.1.34","224.0.0.251","MDNS","167","Standard query 0x002d PTR _googlecast._tcp.local, ""QM"" question PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question"
"147","26.726561100","fe80::412:caff:fe55:72e5","ff02::fb","MDNS","187","Standard query 0x002d PTR _googlecast._tcp.local, ""QM"" question PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question"
"148","26.726561100","Routerboardc_4c:2c:2b","Broadcast","0x9003","64","Ethernet II"
"149","27.627016400","10.101.1.28","157.240.5.12","TLSv1.2","86","Application Data"
"150","27.662391400","157.240.5.12","10.101.1.28","TCP","60","443  >  50378 [ACK] Seq=29 Ack=65 Win=391 Len=0"
"151","27.750046900","10.101.1.46","224.0.0.251","MDNS","169","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local PTR MacBook Pro de Brian._companion-link._tcp.local"
"152","27.750046900","fe80::10f9:d179:b707:4df2","ff02::fb","MDNS","189","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local PTR MacBook Pro de Brian._companion-link._tcp.local"
"153","27.812268300","157.240.5.12","10.101.1.28","TLSv1.2","82","Application Data"
"154","27.858609000","10.101.1.28","157.240.5.12","TCP","54","50378  >  443 [ACK] Seq=65 Ack=57 Win=253 Len=0"
"155","28.882590300","10.101.1.28","8.8.8.8","DNS","94","Standard query 0x7764 A p2p-mad1.discovery.steamserver.net"
"156","28.920386200","10.101.1.28","1.1.1.1","DNS","94","Standard query 0x7764 A p2p-mad1.discovery.steamserver.net"
"157","28.922998800","8.8.8.8","10.101.1.28","DNS","126","Standard query response 0x7764 A p2p-mad1.discovery.steamserver.net A 155.133.246.51 A 155.133.246.35"
"158","28.963125400","1.1.1.1","10.101.1.28","DNS","126","Standard query response 0x7764 A p2p-mad1.discovery.steamserver.net A 155.133.246.51 A 155.133.246.35"
"159","29.638068200","10.101.1.28","157.240.5.11","TLSv1.2","83","Application Data"
"160","29.712480900","157.240.5.11","10.101.1.28","TLSv1.2","79","Application Data"
"161","29.730378200","10.101.1.28","142.250.184.10","UDP","71","56329  >  443 Len=29"
"162","29.761916400","10.101.1.28","157.240.5.11","TCP","54","58626  >  443 [ACK] Seq=88 Ack=76 Win=255 Len=0"
"163","29.792200000","142.250.184.10","10.101.1.28","UDP","66","443  >  56329 Len=24"
"164","30.635592600","10.101.1.28","157.240.5.11","TLSv1.2","83","Application Data"
"165","30.711836200","157.240.5.11","10.101.1.28","TLSv1.2","79","Application Data"
"166","30.758596000","10.101.1.28","157.240.5.11","TCP","54","55086  >  443 [ACK] Seq=124 Ack=2231 Win=255 Len=0"
"167","31.743004200","Routerboardc_4c:2c:2b","Broadcast","0x9003","64","Ethernet II"
"168","33.586881200","Routerboardc_4c:2c:2b","Broadcast","ARP","60","Who has 10.101.1.33? Tell 10.101.0.1"
"169","33.627158700","10.101.1.28","157.240.5.11","TLSv1.2","83","Application Data"
"170","33.627323600","10.101.1.28","157.240.5.11","TLSv1.2","83","Application Data"
"171","33.627422500","10.101.1.28","157.240.5.12","TLSv1.2","86","Application Data"
"172","33.627504800","10.101.1.28","157.240.5.12","TLSv1.2","86","Application Data"
"173","33.629052000","10.101.1.28","157.240.5.11","TCP","4230","50379  >  443 [ACK] Seq=30 Ack=1 Win=255 Len=4176 [TCP PDU reassembled in 184]"
"174","33.634922000","10.101.1.28","172.64.41.3","QUIC","1292","Initial, DCID=8e0bb829152c9c37, PKN: 1, CRYPTO, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PING, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, CRYPTO"
